person,allNames,institution,ULAN_ID,VIAF_ID,WIKIDATA_ID,GND_ID,group_type
,"Gaspari, Jacopo | Jacopo Gaspari",midas,,161600528,,,VIAF
,"Borovec, Stefan | Borowetz, Stefan | Stefan Borovec | Vorovec, Stefan | Worowetz, Stefan",midas,,162144898734150290183,,,VIAF
,"Paolo Rossetti | Rossetti, Paolo",midas,,162335390,,,VIAF
,"Bicchi, Giacomo | Bicchi, Jacopo | Bichi, Giacomo | Bichi, Jacopo | Jacopo Bichi",midas,,162538937,,,VIAF
,"Isaak Saal | Saal, Isaak",midas,,163343371,,,VIAF
,"Bertucci, Giovanni Battista | Giovanni Battista Bertucci",frick,,163891644,,,VIAF
,"Sawyer, Helen",frick,,16477448,,,VIAF
,"Angelo Ghizzardi | Ghizzardi, Angelo",midas,,1649145856956022920544,,,VIAF
,"Ignatius Lucchesini | Lucchesini, Ignazio",midas,,165150015,,,VIAF
,"Kerstken | Kerstken von Ringenberch | von Ringenberg, Kersken",midas,,165346777,,,VIAF
,"Augustin Fries | Fries, Augustin",midas,,166125607,,,VIAF
,"Barbara Ettinger-Brinckmann | Ettinger-Brinckmann, Barbara",midas,,166145542681696642294,,,VIAF
,"Borries, Gisela | Gisela Borries",midas,,166321264,,,VIAF
,"Amer-Mahmud, Masin | Masin Amer-Mahmud",midas,,1666145857039322921210,,,VIAF
,"Calcaprina, Cino | Cino Calcaprina",midas,,1667147665808760670005,,,VIAF
,"Freyse, Karl | Karl Freyse",midas,,166787420,,,VIAF
,"Eller, Erasmus | Erasmus Eller",midas,,1681147425880245040003,,,VIAF
,"Da Gai, Enrico | Enrico Da Gai",midas,,168323573,,,VIAF
,Acuti | Acuto | Acutus | Acutus (1151),midas,,168403637,,,VIAF
,"Coltellini, Girolamo dei | Cortellini, Girolamo dei | Girolamo dei Coltellini",midas,,168508654,,,VIAF
,Meister von Hoogstraeten,midas,,168829651,,,VIAF
,Niccolò | Niccolò da Milano | Nicolò da Milano,midas,,169006667,,,VIAF
,Giovanni Mazzucco | Mazzucco Giovanni,zeri,,169141340,,,VIAF
,"Stuppeler, Wolfgang | Wolfgang Stuppeler",midas,,169145542415496640718,,,VIAF
,"Agostino da Casanova | Casanova, Agostino de",midas,,169474320,,,VIAF
,"James Sinclair | Sinclair, James",frick,,169759188,,,VIAF
,"Caro, Manolo | Manolo Caro",frick,,169830030,,,VIAF
,"Gaspar Serrano | Serrano, Gaspar",midas,,170107873,,,VIAF
,"Friedrich Carl Schubert | Friedrich Karl Schubert | Schubert, Karl Friedrich",midas,,170151246523244131415,,,VIAF
,"Mödlhamber, Paul | Paul Mödlhamber",midas,,170151246596044132350,,,VIAF
,"Marco Antonio Pandolfi | Pandolfi, Marco Antonio",midas,,170274477,,,VIAF
,"Boulanger, Flaminio | Flaminio Boulanger",midas,,170288843,,,VIAF
,"Giovanni Montiroli | Montiroli, Giovanni",midas,,170289780,,,VIAF
,"Bencivinni, Pietro | Pietro Bencivinni",midas,,170404770,,,VIAF
,"Boccalaro, Domenico | Domenico Boccalaro",midas,,170478340,,,VIAF
,"Bauhof, Johann Jakob | Johann Matthäus Bauhof",midas,,170481462,,,VIAF
,"Gian Domenico Monterossi | Monterossi, Gian Domenico",midas,,170500604,,,VIAF
,"Kurtz, Wilhelm | Wilhelm Kurtz",midas,,170540301,,,VIAF
,"Andreas Schreck | Schreck, Andreas",midas,,170540973,,,VIAF
,Meister von Eriskirch,midas,,170632916,,,VIAF
,Meister des Tiefenbronner Hochaltars,midas,,170700947,,,VIAF
,"Castner, Jörg | Jerg Kastner | Kastner, Jerg",midas,,170814510,,,VIAF
,Meister der Ulmer Apostel,midas,,170859378,,,VIAF
,"George Thresher | Thresher, George",frick,,17087476,,,VIAF
,Meister des Heinstettener Altars,midas,,170903887,,,VIAF
,"Lienhart Müller | Müller, Leonhart | Müller, Lienhart",midas,,170971078,,,VIAF
,Maestro di San Torpè | Meister von San Torpè | Meister von San Torpè,midas,,171070808,,,VIAF
,"Hans Schaller | Schaaler, Hans | Schaler, Hans | Schaller, Hans (1540)",midas,,171081851,,,VIAF
,"Bier, Carl | Bier, Karl | Bühr, Karl | Carl Bier",midas,,171195004,,,VIAF
,Meister des Oberndorfer Hochaltars,midas,,171215614,,,VIAF
,"Dänzer, Eberhard | Dänzer, Rüdiger Eberhard | Eberhard Dänzer",midas,,171299601,,,VIAF
,"Betz, Johannes | Johannes Betz",midas,,171357966,,,VIAF
,"Franz Josef Zürcher | Zürcher, Franz Josef",midas,,171509597,,,VIAF
,"Christian Fluhr | Fluhr, Christian",midas,,171534242,,,VIAF
,"Giuseppe Vitta | Vitta, Giuseppe",midas,,17158912106449770979,,,VIAF
,"Georg Christoph Reich | Reich, Georg Christoph",midas,,171618330,,,VIAF
,"Karl Friedrich Kuentzle | Kuentzle, Karl | Kuentzle, Karl Friedrich",midas,,171750380,,,VIAF
,"Konrad Stenglin | Stenglin, Conrad",midas,,171791813,,,VIAF
,"Biggi, Felice | Biggi, Felice Fortunato | Bigi, Felice Fortunato | Bigi, Felix | Felice de' Fiori | Felice de'Fiori",midas,,171796887,,,VIAF
,"Gaspare Mola | Mola, Gaspare | Mola, Gasparo",midas,,171873190,,,VIAF
,"Franz Benedikt Schlecht | Schlecht, Benedikt | Schlecht, Franz Benedikt",midas,,171880402,,,VIAF
,"Benno Waidtmann | Waidmann, Benno | Waidtmann, Benno",midas,,171896587,,,VIAF
,"Otto Slevogt | Slevogt, Otto",midas,,171905860,,,VIAF
,"Leonhard Wippert | Wipper, Leonhard | Wippert, Leonhard",midas,,171925302,,,VIAF
,"Franz Anton Zeller | Zeller, Franz | Zeller, Franz (1697)",midas,,171927439,,,VIAF
,Unknown / Anonymous,midas,,,,171939395,GND
,"Anton Haaf | Haaf, Anton",midas,,171954745,,,VIAF
,"Julius Kühlewein | Kühlewein, Julius",midas,,171958042,,,VIAF
,Unknown / Anonymous,midas,,,,171993586,GND
,"Joseph Benedikt Schneider | Schneider, Josef Benedikt | Schneider, Joseph | Schneider, Joseph Benedikt",midas,,172002676,,,VIAF
,"Benedikt Sporer | Sporer, Benedikt",midas,,172054594,,,VIAF
,"Jörg Unkair | Unkair, Jörg",midas,,172073232,,,VIAF
